Title,Price,Rating,Colors,Size,Gender,Timestamp
T-shirt 2,1634400.0,3.9,3,M,Women,2026-05-17T15:57:21.929103
Hoodie 3,7950080.0,4.8,3,L,Unisex,2026-05-17T15:57:21.929229
Pants 4,7476960.0,3.3,3,XL,Men,2026-05-17T15:57:21.929425
Outerwear 5,5145440.0,3.5,3,XXL,Women,2026-05-17T15:57:21.929595
Jacket 6,2453920.0,3.3,3,S,Unisex,2026-05-17T15:57:21.929736
Crewneck 7,6892000.0,4.3,3,M,Men,2026-05-17T15:57:21.929855
T-shirt 8,7802560.0,3.1,3,L,Women,2026-05-17T15:57:21.929958
Hoodie 9,3972160.0,3.2,3,XL,Unisex,2026-05-17T15:57:21.930092
Pants 10,3100160.0,4.2,3,XXL,Men,2026-05-17T15:57:21.930207
Jacket 12,8527840.0,3.9,3,M,Unisex,2026-05-17T15:57:21.930463
Crewneck 13,5447200.0,3.2,3,L,Men,2026-05-17T15:57:21.930603
T-shirt 14,3248800.0,3.8,3,XL,Women,2026-05-17T15:57:21.930754
Hoodie 15,2184160.0,3.6,3,XXL,Unisex,2026-05-17T15:57:21.930862
Outerwear 17,841600.0,3.8,3,M,Women,2026-05-17T15:57:21.931069
Jacket 18,5500000.0,3.8,3,L,Unisex,2026-05-17T15:57:21.931176
Crewneck 19,1308960.0,3.6,3,XL,Men,2026-05-17T15:57:21.931292
T-shirt 20,1325600.0,3.4,3,XXL,Women,2026-05-17T15:57:21.931423
Pants 22,4319680.0,4.9,3,M,Men,2026-05-17T15:57:22.427927
Outerwear 23,4655840.0,3.7,3,L,Women,2026-05-17T15:57:22.428083
Jacket 24,8223520.0,3.9,3,XL,Unisex,2026-05-17T15:57:22.428183
Crewneck 25,8322560.0,3.3,3,XXL,Men,2026-05-17T15:57:22.428283
T-shirt 26,7292320.0,4.6,3,S,Women,2026-05-17T15:57:22.428382
Hoodie 27,3551840.0,4.8,3,M,Unisex,2026-05-17T15:57:22.428485
Pants 28,5216160.0,4.0,3,L,Men,2026-05-17T15:57:22.428617
Outerwear 29,861600.0,3.1,3,XL,Women,2026-05-17T15:57:22.428801
Jacket 30,8610240.0,3.7,3,XXL,Unisex,2026-05-17T15:57:22.428953
T-shirt 32,6657920.0,3.4,3,M,Women,2026-05-17T15:57:22.429159
Hoodie 33,7248160.0,3.5,3,L,Unisex,2026-05-17T15:57:22.429259
Pants 34,8362720.0,3.8,3,XL,Men,2026-05-17T15:57:22.429359
Outerwear 35,1356160.0,3.8,3,XXL,Women,2026-05-17T15:57:22.429456
Jacket 36,7249280.0,3.7,3,S,Unisex,2026-05-17T15:57:22.429552
Crewneck 37,6006080.0,4.0,3,M,Men,2026-05-17T15:57:22.429651
T-shirt 38,4866080.0,3.2,3,L,Women,2026-05-17T15:57:22.429752
Hoodie 39,6431200.0,4.6,3,XL,Unisex,2026-05-17T15:57:22.429848
Pants 40,5853600.0,3.1,3,XXL,Men,2026-05-17T15:57:22.429943
Jacket 42,6744160.0,3.7,3,M,Unisex,2026-05-17T15:57:22.834585
Crewneck 43,2909600.0,4.5,3,L,Men,2026-05-17T15:57:22.834851
T-shirt 44,3312320.0,3.0,3,XL,Women,2026-05-17T15:57:22.835019
Hoodie 45,8693120.0,4.5,3,XXL,Unisex,2026-05-17T15:57:22.835152
Outerwear 47,6364640.0,3.2,3,M,Women,2026-05-17T15:57:22.835372
Jacket 48,4994720.0,3.4,3,L,Unisex,2026-05-17T15:57:22.835491
